                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
1,19/04/2008,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    lbw b J R Hopes                  ,2,3,66.67,2,2,66.67
2,23/04/2008,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c D J J Bravo b M  Khote                  ,30,16,187.5,32,16,168.42
3,26/04/2008,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    43*                  ,27,159.26,75,37.5,163.04
4,28/04/2008,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    c sub b Z Khan                  ,65,30,216.67,140,46.67,184.21
5,2/5/2008,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c Shoaib Malik b Mohammad Asif                  ,32,27,118.52,172,43,166.99
6,4/5/2008,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    c G C Smith b S K Warne                  ,1,7,14.29,173,34.6,157.27
7,6/5/2008,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c Shahid Afridi b P P Ojha                  ,23,31,74.19,196,32.67,139.01
8,8/5/2008,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c A B de Villiers b V Y  Mahesh                  ,33,33,100,229,32.71,131.61
9,10/5/2008,                    Kings XI Punjab                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    60*                  ,43,139.53,289,41.29,133.18
10,14/05/2008,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    not out                  ,                    43*                  ,35,122.86,332,47.43,131.75
11,18/05/2008,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,332,47.43,131.75
12,21/05/2008,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c A Kumble b R Vinay Kumar                  ,4,8,50,336,42,129.23
13,24/05/2008,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c M Kaif b Sohail Tanvir                  ,12,8,150,348,38.67,129.85
14,27/05/2008,                    Deccan Chargers                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c H H Gibbs b P P Ojha                  ,37,25,148,385,38.5,131.4
15,31/05/2008,                    Kings XI Punjab                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,385,38.5,131.4
16,1/6/2008,                    Rajasthan Royals                  ,                    Dr DY Patil Sports Academy                  ,                    &check;                  ,                    not out                  ,                    29*                  ,17,170.59,414,41.4,133.55
17,18/04/2009,                    Mumbai Indians                  ,                    Newlands                  ,,                    b S L Malinga                  ,36,26,138.46,450,40.91,133.93
18,20/04/2009,                    Royal Challengers Bangalore                  ,                    St George's Park                  ,                    &check;                  ,                    c R  Bishnoi b P Kumar                  ,16,14,114.29,466,38.83,133.14
19,23/04/2009,                    Delhi Capitals                  ,                    Kingsmead                  ,,                    c †K D Karthik b D L Vettori                  ,5,7,71.43,471,36.23,131.93
20,27/04/2009,                    Deccan Chargers                  ,                    Kingsmead                  ,,                    c Shoaib Ahmed b P P Ojha                  ,22,22,100,493,35.21,130.08
21,30/04/2009,                    Rajasthan Royals                  ,                    Buffalo Park                  ,                    &check;                  ,                    not out                  ,                    22*                  ,19,115.79,515,36.79,129.4
22,2/5/2009,                    Delhi Capitals                  ,                    Wanderers Stadium                  ,                    &check;                  ,                    c G Gambhir b D P Nannes                  ,6,7,85.71,521,34.73,128.64
23,4/5/2009,                    Deccan Chargers                  ,                    Buffalo Park                  ,                    &check;                  ,                    not out                  ,                    58*                  ,37,156.76,579,38.6,131
24,7/5/2009,                    Kings XI Punjab                  ,                    SuperSport Park                  ,                    &check;                  ,                    not out                  ,                    56*                  ,27,207.41,635,42.33,135.39
25,9/5/2009,                    Rajasthan Royals                  ,                    Diamond Oval                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,635,42.33,135.39
26,14/05/2009,                    Royal Challengers Bangalore                  ,                    Kingsmead                  ,,                    c & b R E van der Merwe                  ,18,20,90,653,40.81,133.54
27,16/05/2009,                    Mumbai Indians                  ,                    St George's Park                  ,,                    not out                  ,                    23*                  ,22,104.55,676,42.25,132.29
28,18/05/2009,                    Kolkata Knight Riders                  ,                    SuperSport Park                  ,                    &check;                  ,                    not out                  ,                    40*                  ,28,142.86,716,44.75,132.84
29,20/05/2009,                    Kings XI Punjab                  ,                    Kingsmead                  ,                    &check;                  ,                    b S Sreesanth                  ,2,2,100,718,42.24,132.72
30,23/05/2009,                    Royal Challengers Bangalore                  ,                    Wanderers Stadium                  ,                    &check;                  ,                    c R Vinay Kumar b R E van der Merwe                  ,28,30,93.33,746,41.44,130.65
31,14/03/2010,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    b A Symonds                  ,42,29,144.83,788,41.47,131.33
32,16/03/2010,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    not out                  ,                    66*                  ,33,200,854,44.95,134.91
33,25/03/2010,                    Mumbai Indians                  ,                    Brabourne Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,854,44.95,134.91
34,28/03/2010,                    Rajasthan Royals                  ,                    Sardar Patel Stadium                  ,                    &check;                  ,                    run out                  ,21,19,110.53,875,43.75,134.2
35,31/03/2010,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c R Dravid b D W Steyn                  ,14,19,73.68,889,42.33,132.49
36,3/4/2010,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c S  Narwal b S R Watson                  ,0,1,0,889,40.41,132.29
37,6/4/2010,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c & b K A Pollard                  ,31,18,172.22,920,40,133.33
38,10/4/2010,                    Deccan Chargers                  ,                    Vidarbha Cricket Association Stadium                  ,                    &check;                  ,                    b P P Ojha                  ,7,13,53.85,927,38.63,131.86
39,13/04/2010,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,927,38.63,131.86
40,15/04/2010,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c M  Manhas b D P Nannes                  ,0,2,0,927,37.08,131.49
41,18/04/2010,                    Kings XI Punjab                  ,                    Himachal Pradesh Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    54*                  ,29,186.21,981,39.24,133.65
42,22/04/2010,                    Deccan Chargers                  ,                    Dr DY Patil Sports Academy                  ,                    &check;                  ,                    c R G Sharma b Harmeet Singh                  ,30,32,93.75,1011,38.88,131.98
43,25/04/2010,                    Mumbai Indians                  ,                    Dr DY Patil Sports Academy                  ,                    &check;                  ,                    c C R D Fernando b Z Khan                  ,22,15,146.67,1033,38.26,132.27
44,8/4/2011,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c †M S  Bisla b J H Kallis                  ,29,21,138.1,1062,37.93,132.42
45,13/04/2011,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    b R J Harris                  ,43,20,215,1105,38.1,134.43
46,16/04/2011,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c †A B de Villiers b Z Khan                  ,22,16,137.5,1127,37.57,134.49
47,18/04/2011,                    Kochi Tuskers Kerala                  ,                    Nehru Stadium (Kochi)                  ,                    &check;                  ,                    not out                  ,                    14*                  ,13,107.69,1141,38.03,134.08
48,22/04/2011,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    c R G Sharma b K A Pollard                  ,3,6,50,1144,36.9,133.49
49,25/04/2011,                    Pune Warriors                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    st R V Uthappa b R Sharma                  ,26,21,123.81,1170,36.56,133.26
50,27/04/2011,                    Pune Warriors                  ,                    Dr DY Patil Sports Academy                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1170,36.56,133.26
51,1/5/2011,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    st K C Sangakkara b P P Ojha                  ,21,22,95.45,1191,36.09,132.33
52,4/5/2011,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1191,36.09,132.33
53,7/5/2011,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1191,36.09,132.33
54,9/5/2011,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    not out                  ,                    41*                  ,19,215.79,1232,37.33,134.06
55,12/5/2011,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    63*                  ,31,203.23,1295,39.24,136.32
56,18/05/2011,                    Kochi Tuskers Kerala                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c †P A Patel b R A Jadeja                  ,9,6,150,1304,38.35,136.4
57,22/05/2011,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    not out                  ,                    70*                  ,40,175,1374,40.41,137.95
58,24/05/2011,                    Royal Challengers Bangalore                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    c A Mithun b Z Khan                  ,29,19,152.63,1403,40.09,138.23
59,28/05/2011,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c V Kohli b S Aravind                  ,22,13,169.23,1425,39.58,138.62
60,4/4/2012,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    run out                  ,4,6,66.67,1429,38.62,138.2
61,7/4/2012,                    Deccan Chargers                  ,                    Dr YS Rajasekhara Reddy Cricket Stadium                  ,                    &check;                  ,                    c D J Harris b D W Steyn                  ,7,9,77.78,1436,37.79,137.68
62,10/4/2012,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c D P M D Jayawardene b M Morkel                  ,11,18,61.11,1447,37.1,136.38
63,12/4/2012,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c sub b Z Khan                  ,41,24,170.83,1488,37.2,137.14
64,14/04/2012,                    Pune Warriors                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c M Kartik b A B Dinda                  ,26,28,92.86,1514,36.93,136.03
65,19/04/2012,                    Pune Warriors                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    28*                  ,12,233.33,1542,37.61,137.07
66,21/04/2012,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    15*                  ,12,125,1557,37.98,136.94
67,25/04/2012,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1557,37.98,136.94
68,28/04/2012,                    Kings XI Punjab                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    run out                  ,1,4,25,1558,37.1,136.55
69,30/04/2012,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    34*                  ,30,113.33,1592,37.9,135.95
70,4/5/2012,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    b D T Christian                  ,34,28,121.43,1626,37.81,135.61
71,6/5/2012,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    c R G Sharma b R P Singh                  ,25,15,166.67,1651,37.52,136
72,10/5/2012,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    c A M Rahane b S K  Trivedi                  ,10,16,62.5,1661,36.91,135.04
73,12/5/2012,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1661,36.91,135.04
74,14/05/2012,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    b R Bhatia                  ,28,21,133.33,1689,36.72,135.01
75,17/05/2012,                    Kings XI Punjab                  ,                    Himachal Pradesh Cricket Association Stadium                  ,                    &check;                  ,                    c N  Saini b P Awana                  ,6,16,37.5,1695,36.06,133.78
76,23/05/2012,                    Mumbai Indians                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    not out                  ,                    51*                  ,20,255,1746,37.15,135.66
77,25/05/2012,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c P Negi b V R Aaron                  ,23,10,230,1769,36.85,136.39
78,27/05/2012,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    14*                  ,9,155.56,1783,37.15,136.52
79,6/4/2013,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c K A Pollard b M M Patel                  ,51,26,196.15,1834,37.43,137.69
80,10/4/2013,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,1834,37.43,137.69
81,13/04/2013,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c †K B A Arun Karthik b R Rampaul                  ,33,23,143.48,1867,37.34,137.79
82,15/04/2013,                    Pune Warriors                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c S P D Smith b A B Dinda                  ,10,13,76.92,1877,36.8,137.21
83,18/04/2013,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c B M A J Mendis b U T Yadav                  ,44,23,191.3,1921,36.94,138.1
84,20/04/2013,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    run out                  ,9,7,128.57,1930,36.42,138.05
85,22/04/2013,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c S T R Binny b J P Faulkner                  ,21,16,131.25,1951,36.13,137.98
86,25/04/2013,                    Sunrisers Hyderabad                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    67*                  ,37,181.08,2018,37.37,139.08
87,28/04/2013,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    18*                  ,12,150,2036,37.7,139.17
88,30/04/2013,                    Pune Warriors                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    45*                  ,16,281.25,2081,38.54,140.7
89,2/5/2013,                    Kings XI Punjab                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    run out                  ,2,2,100,2083,37.87,140.65
90,5/5/2013,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    c K A Pollard b P P Ojha                  ,10,12,83.33,2093,37.38,140.19
91,8/5/2013,                    Sunrisers Hyderabad                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c K V Sharma b N L T C Perera                  ,4,3,133.33,2097,36.79,140.17
92,12/5/2013,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    c S R Watson b K  Cooper                  ,2,3,66.67,2099,36.19,140.03
93,14/05/2013,                    Delhi Capitals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    58*                  ,35,165.71,2157,37.19,140.61
94,18/05/2013,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    c J D Unadkat b Z Khan                  ,24,10,240,2181,36.97,141.26
95,21/05/2013,                    Mumbai Indians                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,2181,36.97,141.26
96,26/05/2013,                    Mumbai Indians                  ,                    Eden Gardens                  ,                    &check;                  ,                    not out                  ,                    63*                  ,45,140,2244,38.03,141.22
97,18/04/2014,                    Kings XI Punjab                  ,                    Sheikh Zayed Stadium                  ,,                    c R Dhawan b L Balaji                  ,26,11,236.36,2270,37.83,141.88
98,21/04/2014,                    Delhi Capitals                  ,                    Sheikh Zayed Stadium                  ,                    &check;                  ,                    c M A Agarwal b J D Unadkat                  ,32,15,213.33,2302,37.74,142.54
99,23/04/2014,                    Rajasthan Royals                  ,                    Dubai International Cricket Stadium                  ,                    &check;                  ,                    c J P Faulkner b P V Tambe                  ,5,8,62.5,2307,37.21,142.14
